Name,Plot,Entry,Rep,Location,Planting Date (date),Protein (1st; %),Histidine (1st; %),Serine (1st; %),Arginine (1st; %),Glycine (1st; %),Aspartic acid (1st; %),Glutamic acid (1st; %),Threonine (1st; %),Alanine (1st; %),Proline (1st; %),Cysteine (1st; %),Lysine (1st; %),Tyrosine (1st; %),Methionine (1st; %),Valine (1st; %),Isoleucine (1st; %),Leucine (1st; %),Phenylalanine (1st; %),Tryptophan (1st; %),Sample Name (1st; text)
ILL 1220 AGL,NA,60,1,"Sutherland, Canada",2017,28.9392,1.035145,1.378538,2.115462,1.103625,3.100741,4.309613,1.099421,1.160028,1.16132,0.2709958,1.808972,0.8612352,0.2522706,1.383696,1.182414,1.992416,1.381232,0.2276944,sut 60 sst who
ILL 1220 AGL,NA,60,1,"Rosthern, Canada",2016,31.45432,0.9903405,1.549507,2.230265,1.248726,3.744196,5.00661,1.119589,1.313503,1.268253,0.282478,2.080602,0.9243496,0.2955274,1.51254,1.315622,2.25932,1.509258,0.2461192,16 ros 060
ILL 1220 AGL,NA,60,1,"Sutherland, Canada",2016,29.38511,0.9797276,1.392147,1.950381,1.123843,3.27481,4.479037,0.9849939,1.196912,1.187269,0.2587715,1.88377,0.820375,0.266129,1.357294,1.189867,2.038296,1.364842,0.2263976,16 sut 060
ILL 1553 AGL,NA,61,1,"Rosthern, Canada",2017,29.53866,0.817184,1.477703,2.252455,1.181633,3.457619,4.722171,1.207607,1.196124,1.219393,0.2944066,1.913028,0.9081084,0.2732863,1.456108,1.288369,2.132576,1.482902,0.2367979,ros 61 sst who
ILL 1553 AGL,NA,61,1,"Sutherland, Canada",2017,30.15259,1.0155,1.481555,2.268983,1.178343,3.344416,4.657116,1.137593,1.182903,1.210599,0.289327,1.885667,0.913789,0.2601525,1.468675,1.288068,2.125366,1.480673,0.2409865,sut 61 sst who
ILL 1553 AGL,NA,61,1,"Rosthern, Canada",2016,30.61712,0.9854489,1.493399,2.177105,1.175735,3.539607,4.80316,1.100139,1.231583,1.241159,0.2693158,1.995949,0.8953452,0.2707073,1.442753,1.266311,2.166809,1.469238,0.2375615,16 ros 061
ILL 1553 AGL,NA,61,1,"Sutherland, Canada",2016,31.09584,0.9579672,1.517699,2.164487,1.210159,3.575129,4.962479,1.079876,1.240189,1.249038,0.2767281,2.020669,0.9100285,0.2834238,1.467253,1.308153,2.218773,1.489925,0.2362009,16 sut 061
ILL 1762 AGL,NA,62,1,"Rosthern, Canada",2017,26.27039,0.6890725,1.261779,1.860295,1.01797,2.949263,3.995119,1.113144,1.036275,1.095568,0.2739859,1.668723,0.7549382,0.2396297,1.258958,1.100191,1.855033,1.287927,0.2126436,ros 62 sst who
ILL 1762 AGL,NA,62,1,"Sutherland, Canada",2017,26.90041,0.9244727,1.270609,1.880765,1.023886,2.85593,3.952126,1.053761,1.034591,1.092712,0.2644387,1.660056,0.7643096,0.2320217,1.263812,1.090686,1.85133,1.277758,0.2162724,sut 62 sst who
ILL 1762 AGL,NA,62,1,"Rosthern, Canada",2016,25.64158,0.6326063,1.248029,1.62203,1.011734,3.059404,4.078838,0.9431123,1.07523,1.094396,0.2426535,1.770759,0.7222081,0.2592204,1.217242,1.075168,1.849871,1.234744,0.2035292,16 ros 062
ILL 1762 AGL,NA,62,1,"Sutherland, Canada",2016,27.30759,0.8676443,1.297109,1.751778,1.037313,3.063016,4.186373,0.9446825,1.065739,1.115726,0.248431,1.78719,0.7556495,0.2441286,1.255988,1.105018,1.901736,1.268467,0.2058339,16 sut 062
ILL 1983 AGL,NA,63,1,"Rosthern, Canada",2017,27.93496,1.027486,1.32578,2.140633,1.04005,3.087624,4.299791,1.05889,1.05027,1.134811,0.2549694,1.711071,0.8036101,0.2255096,1.317542,1.161051,1.941537,1.357622,0.2103095,ros 63 sst who
ILL 1983 AGL,NA,63,1,"Sutherland, Canada",2017,28.65944,1.147714,1.337007,2.14485,1.051881,2.9976,4.247478,1.03945,1.062843,1.153346,0.252697,1.715887,0.8157928,0.225397,1.326439,1.155901,1.948998,1.355685,0.2180309,sut 63 sst who
ILL 1983 AGL,NA,63,1,"Rosthern, Canada",2016,28.66401,1.036039,1.361732,1.965243,1.066754,3.224232,4.41976,0.9466372,1.072474,1.161612,0.2358378,1.838362,0.7761728,0.2419404,1.314265,1.15742,1.992072,1.3429,0.2102129,16 ros 063
ILL 1983 AGL,NA,63,1,"Sutherland, Canada",2016,29.21116,1.165747,1.349647,1.945018,1.055897,3.124627,4.379485,0.9478401,1.058248,1.149141,0.2343352,1.80405,0.7892156,0.235949,1.302748,1.152533,1.964659,1.323161,0.2118253,16 sut 063
ILL 213 AGL,NA,64,1,"Rosthern, Canada",2017,27.49523,0.7151407,1.300014,1.980573,1.04077,3.237611,4.351804,1.113094,1.095216,1.130435,0.2664534,1.782016,0.7996199,0.2630247,1.312028,1.151503,1.946846,1.331559,0.2151397,ros 64 sst who
ILL 213 AGL,NA,64,1,"Sutherland, Canada",2017,29.93872,1.081922,1.406709,2.179911,1.135969,3.161768,4.364944,1.202668,1.070761,1.183239,0.283623,1.758101,0.8518872,0.243685,1.389353,1.203764,2.054026,1.416128,0.2333412,sut 64 sst who
ILL 213 AGL,NA,64,1,"Rosthern, Canada",2016,28.58039,0.7927647,1.365728,1.930977,1.084138,3.445968,4.530082,1.030154,1.152992,1.172621,0.2597399,1.891943,0.804129,0.2797768,1.331038,1.172348,2.024813,1.346547,0.2211134,16 ros 064
ILL 213 AGL,NA,64,1,"Sutherland, Canada",2016,29.64149,0.981419,1.379673,1.972654,1.091877,3.317686,4.52448,1.013514,1.130509,1.17065,0.2570221,1.881566,0.8305134,0.2613555,1.347422,1.17957,2.02553,1.348531,0.2220306,16 sut 064
ILL 2194 AGL,NA,65,1,"Rosthern, Canada",2017,27.72972,0.9248639,1.30271,2.058582,1.05785,3.102657,4.292586,1.11213,1.034081,1.154119,0.2519725,1.730844,0.8195418,0.2516829,1.281747,1.143277,1.921786,1.329828,0.2121328,ros 65 sst who
ILL 2194 AGL,NA,65,1,"Sutherland, Canada",2017,28.54222,1.126585,1.357872,2.114336,1.086528,2.923634,4.204911,1.012074,1.075714,1.171717,0.2580146,1.701849,0.8301997,0.2291438,1.338467,1.179907,1.950337,1.366161,0.215446,sut 65 sst who
ILL 2194 AGL,NA,65,1,"Rosthern, Canada",2016,28.21167,0.9586343,1.330177,1.924376,1.032686,3.153532,4.312536,0.9345049,1.051781,1.171742,0.2378145,1.793416,0.7840875,0.2447698,1.273021,1.134627,1.929629,1.309193,0.2077596,16 ros 065
ILL 2194 AGL,NA,65,1,"Sutherland, Canada",2016,26.86782,0.9713506,1.230598,1.707661,1.00081,2.904561,4.072303,0.8948048,0.9815668,1.110902,0.2269546,1.670092,0.745167,0.2436993,1.178476,1.070871,1.824329,1.225342,0.1990613,16 sut 065
PI 431893 LSP AGL,NA,66,1,"Rosthern, Canada",2017,29.65278,0.8028408,1.467455,2.2751,1.168953,3.499293,4.746089,1.245615,1.197615,1.206092,0.2991962,1.956815,0.894057,0.2668945,1.458867,1.273114,2.154313,1.492911,0.2350965,ros 66 sst who
PI 431893 LSP AGL,NA,66,1,"Sutherland, Canada",2017,32.39351,1.172414,1.533242,2.52235,1.200639,3.548409,4.902874,1.258242,1.235991,1.243678,0.2919693,1.99325,0.951872,0.2570505,1.517667,1.301948,2.216794,1.535085,0.2474001,sut 66 sst who
PI 431893 LSP AGL,NA,66,1,"Rosthern, Canada",2016,29.33348,0.9189091,1.42671,2.044628,1.101748,3.411539,4.572929,1.047206,1.1351,1.179155,0.2618728,1.929314,0.8328112,0.2609217,1.374672,1.200822,2.058166,1.399294,0.2224979,16 ros 066
PI 431893 LSP AGL,NA,66,1,"Sutherland, Canada",2016,30.37069,1.000919,1.453355,2.109177,1.146537,3.541396,4.763177,1.082636,1.169577,1.203374,0.2676813,1.965901,0.8456458,0.2725516,1.40171,1.238641,2.136677,1.429839,0.2292627,16 sut 066
ILL 2507 AGL,NA,67,1,"Rosthern, Canada",2017,27.82102,0.8652343,1.332797,2.089802,1.051896,3.12334,4.343324,1.115304,1.072181,1.140099,0.250162,1.777769,0.806162,0.2390975,1.328651,1.167974,1.966733,1.370643,0.2097963,ros 67 sst who
ILL 2507 AGL,NA,67,1,"Sutherland, Canada",2017,28.86741,1.120227,1.338534,2.17702,1.06975,3.117799,4.376953,1.084207,1.09178,1.172276,0.2465757,1.765514,0.8213307,0.237669,1.341775,1.16813,1.987938,1.379605,0.2158492,sut 67 sst who
ILL 2507 AGL,NA,67,1,"Rosthern, Canada",2016,28.34216,0.9853351,1.35978,1.948944,1.061508,3.180104,4.391444,0.9591538,1.067846,1.158694,0.2360197,1.837408,0.7755602,0.239588,1.308729,1.153384,1.9847,1.346943,0.2075936,16 ros 067
ILL 2507 AGL,NA,67,1,"Sutherland, Canada",2016,29.57599,1.137411,1.371492,2.02608,1.099947,3.27519,4.552692,0.9822306,1.102088,1.18584,0.2361677,1.841876,0.798048,0.2451185,1.333207,1.187254,2.039867,1.371596,0.2135823,16 sut 067
ILL 2580 AGL,NA,68,1,"Rosthern, Canada",2017,29.84862,1.000692,1.416816,2.284047,1.132358,3.380491,4.658302,1.171365,1.150896,1.200541,0.2572626,1.863878,0.8672462,0.2530192,1.413013,1.229181,2.089762,1.44381,0.2271372,ros 68 sst who
ILL 2580 AGL,NA,68,1,"Sutherland, Canada",2017,31.86478,1.284608,1.469277,2.479881,1.154241,3.393939,4.77572,1.176277,1.211529,1.247523,0.255182,1.913449,0.9102263,0.2475362,1.464874,1.263719,2.149127,1.493877,0.2329701,sut 68 sst who
ILL 2580 AGL,NA,68,1,"Rosthern, Canada",2016,29.0429,1.04242,1.372534,1.984559,1.088413,3.282943,4.509733,0.945311,1.117018,1.186663,0.2327259,1.869194,0.8012761,0.2544525,1.337855,1.169445,2.021381,1.357625,0.2164705,16 ros 068
ILL 2580 AGL,NA,68,1,"Sutherland, Canada",2016,29.49642,1.133521,1.355479,1.992969,1.077535,3.220907,4.51214,0.9839212,1.08777,1.167482,0.225682,1.817453,0.7891736,0.2394905,1.314208,1.168807,2.005011,1.344615,0.2134922,16 sut 068
ILL 28 AGL,NA,69,1,"Rosthern, Canada",2017,26.72262,0.7346085,1.310691,1.987355,1.043748,2.995473,4.2616,1.074336,1.062396,1.136007,0.2556252,1.754675,0.8162525,0.2492615,1.302319,1.151393,1.919485,1.343415,0.2090335,ros 69 sst who
ILL 28 AGL,NA,69,1,"Sutherland, Canada",2017,27.54989,0.9153481,1.312938,2.075564,1.027479,2.90691,4.241134,1.012211,1.084242,1.15946,0.2517811,1.728213,0.8141969,0.2311032,1.303018,1.155991,1.917814,1.354586,0.211073,sut 69 sst who
ILL 28 AGL,NA,69,1,"Rosthern, Canada",2016,27.36198,0.8398698,1.314751,1.834862,1.045962,3.067169,4.336621,0.9247651,1.100173,1.167184,0.2275587,1.814132,0.7865648,0.2494127,1.277908,1.136827,1.951199,1.316789,0.2069598,16 ros 069
ILL 28 AGL,NA,69,1,"Sutherland, Canada",2016,29.2449,0.9884229,1.362713,2.005074,1.074298,3.150488,4.540333,0.9629709,1.078103,1.205406,0.2333547,1.818401,0.7887505,0.2336077,1.309847,1.189177,2.024951,1.366122,0.2094374,16 sut 069
ILL 3025 AGL,NA,70,1,"Rosthern, Canada",2017,27.51114,0.9108024,1.310267,2.078977,1.017895,3.032422,4.260508,1.077187,1.037721,1.117807,0.2429947,1.72638,0.7939204,0.2274987,1.304214,1.142165,1.925487,1.346486,0.2067816,ros 70 sst who
ILL 3025 AGL,NA,70,1,"Sutherland, Canada",2017,28.93797,1.129284,1.348165,2.156503,1.062826,3.022156,4.305113,1.09322,1.093104,1.152784,0.2453051,1.765395,0.825694,0.2315235,1.336681,1.154351,1.968973,1.369664,0.2173086,sut 70 sst who
ILL 3025 AGL,NA,70,1,"Rosthern, Canada",2016,26.99748,0.8839338,1.307696,1.810476,1.024321,3.105022,4.277057,0.940039,1.053764,1.112518,0.2253662,1.791592,0.7537397,0.2447146,1.26513,1.121179,1.916929,1.299279,0.2010923,16 ros 070
ILL 3025 AGL,NA,70,1,"Sutherland, Canada",2016,27.11395,0.9449138,1.312,1.784528,1.020437,3.041511,4.282605,0.8915992,1.011377,1.111689,0.2223119,1.77171,0.7414119,0.2251087,1.262646,1.133492,1.932831,1.304781,0.1942065,16 sut 070
ILL 313 AGL,NA,71,1,"Rosthern, Canada",2017,29.39559,0.8918828,1.436782,2.275315,1.134216,3.355294,4.65656,1.155098,1.144177,1.19552,0.2761725,1.872132,0.8921825,0.2580587,1.439068,1.264858,2.09592,1.46643,0.2271676,ros 71 sst who
ILL 313 AGL,NA,71,1,"Sutherland, Canada",2017,30.45275,1.116284,1.435435,2.329429,1.112662,3.209622,4.624996,1.13565,1.139403,1.205269,0.2528097,1.866201,0.8906146,0.2380832,1.423973,1.244321,2.081483,1.458595,0.2258283,sut 71 sst who
ILL 313 AGL,NA,71,1,"Rosthern, Canada",2016,29.78101,0.9523777,1.439829,2.094293,1.148774,3.442199,4.756114,0.9944636,1.173158,1.214472,0.2577729,1.928628,0.8497674,0.2761348,1.40186,1.247953,2.129625,1.438027,0.2213101,16 ros 071
ILL 313 AGL,NA,71,1,"Sutherland, Canada",2016,30.94668,1.094492,1.456734,2.169617,1.145629,3.454823,4.844701,1.015072,1.162299,1.244219,0.2401528,1.930587,0.8462266,0.2525385,1.415639,1.269071,2.158514,1.455237,0.223769,16 sut 071
ILL 3347 AGL,NA,72,1,"Rosthern, Canada",2017,27.17579,0.9036007,1.287348,2.009621,1.027214,2.992017,4.185778,1.08085,1.040432,1.115858,0.2491458,1.702599,0.7955024,0.2364251,1.285618,1.128823,1.900851,1.32426,0.2071183,ros 72 sst who
ILL 3347 AGL,NA,72,1,"Sutherland, Canada",2017,28.87019,1.119005,1.34506,2.166307,1.071658,3.071473,4.286162,1.064442,1.103855,1.162685,0.2575835,1.727276,0.8314373,0.2347084,1.33736,1.164771,1.963789,1.363389,0.2185026,sut 72 sst who
ILL 3347 AGL,NA,72,1,"Rosthern, Canada",2016,27.92703,0.9458913,1.331021,1.877558,1.067448,3.167192,4.359234,0.9657909,1.08554,1.145672,0.2443302,1.814039,0.7825307,0.2613606,1.287594,1.143359,1.967468,1.326957,0.2056449,16 ros 072
ILL 3347 AGL,NA,72,1,"Sutherland, Canada",2016,27.67993,1.04318,1.296351,1.790739,1.018899,2.981378,4.208023,0.9078381,1.021704,1.110237,0.2281557,1.744441,0.752952,0.2268289,1.246575,1.116446,1.891374,1.277027,0.2016134,16 sut 072
ILL 358 AGL,NA,73,1,"Rosthern, Canada",2017,29.5194,0.8393208,1.467093,2.281325,1.133401,3.397806,4.743544,1.17583,1.148348,1.215633,0.2669811,1.897291,0.8585244,0.2507432,1.437886,1.286618,2.114473,1.486861,0.2212469,ros 73 sst who
ILL 358 AGL,NA,73,1,"Sutherland, Canada",2017,31.27471,1.100551,1.496006,2.390353,1.173095,3.343773,4.78071,1.19514,1.158165,1.24168,0.2664476,1.899025,0.8861556,0.2418053,1.458033,1.285184,2.150464,1.498087,0.2346927,sut 73 sst who
ILL 358 AGL,NA,73,1,"Rosthern, Canada",2016,30.83545,0.9667316,1.479474,2.186477,1.181009,3.532489,4.927444,1.029555,1.242616,1.279541,0.249928,1.972846,0.866721,0.2787197,1.443805,1.291512,2.200851,1.48031,0.2251757,16 ros 073
ILL 358 AGL,NA,73,1,"Sutherland, Canada",2016,31.06501,0.9872841,1.498839,2.189246,1.167548,3.532026,4.950434,1.041207,1.173858,1.273315,0.2456341,1.971927,0.8431869,0.25513,1.432459,1.296914,2.198226,1.484277,0.2234767,16 sut 073
ILL 3597 AGL,NA,74,1,"Rosthern, Canada",2017,26.94246,0.9438334,1.275259,1.98853,0.9878852,2.921361,4.106034,1.045727,1.024723,1.095149,0.2419723,1.682775,0.7693237,0.2152455,1.260536,1.113906,1.859403,1.306246,0.2000657,ros 74 sst who
ILL 3597 AGL,NA,74,1,"Sutherland, Canada",2017,29.11126,1.18557,1.342525,2.131869,1.059386,2.973088,4.208229,1.121062,1.094522,1.144126,0.2477933,1.747217,0.8189515,0.2263562,1.321483,1.144108,1.93696,1.352454,0.2183757,sut 74 sst who
ILL 3597 AGL,NA,74,1,"Rosthern, Canada",2016,27.34353,0.9091811,1.304822,1.852374,1.040465,3.090202,4.292144,0.9122182,1.085463,1.139496,0.2400129,1.769909,0.7836579,0.2545761,1.276869,1.133922,1.940079,1.305066,0.2045089,16 ros 074
ILL 3597 AGL,NA,74,1,"Sutherland, Canada",2016,27.83067,1.029503,1.302445,1.832886,1.039485,3.041641,4.259191,0.9454479,1.062257,1.129602,0.2300699,1.752414,0.7571077,0.2352373,1.256424,1.127018,1.926293,1.295752,0.2031628,16 sut 074
ILL 4164 AGL,NA,75,1,"Rosthern, Canada",2017,28.81981,0.8873848,1.401074,2.264623,1.069109,3.229164,4.528878,1.108449,1.106331,1.177102,0.2674318,1.817515,0.8845487,0.2402976,1.391156,1.21668,2.049787,1.432487,0.2185839,ros 75 sst who
ILL 4164 AGL,NA,75,1,"Sutherland, Canada",2017,28.25369,1.062474,1.347055,2.10986,1.039,2.945228,4.206461,1.004879,1.074588,1.149739,0.253767,1.718881,0.8234931,0.219861,1.334501,1.158522,1.948544,1.361223,0.2164921,sut 75 sst who
ILL 4164 AGL,NA,75,1,"Rosthern, Canada",2016,29.35313,0.9634956,1.417524,2.091638,1.096104,3.396855,4.617014,0.982769,1.118509,1.195282,0.26122,1.879612,0.837969,0.2611361,1.377063,1.221548,2.08366,1.41273,0.2156969,16 ros 075
ILL 4164 AGL,NA,75,1,"Sutherland, Canada",2016,28.47197,0.9368961,1.379218,1.932405,1.075339,3.252019,4.498417,0.980706,1.077276,1.148217,0.2432539,1.846584,0.8100269,0.2408728,1.335391,1.194404,2.021697,1.363542,0.2113858,16 sut 075
ILL 4400 AGL,NA,76,1,"Rosthern, Canada",2017,29.50495,0.9590815,1.413164,2.258152,1.135159,3.259305,4.57484,1.172998,1.131365,1.193308,0.2685589,1.863793,0.8791513,0.256813,1.412304,1.220561,2.064126,1.443074,0.2364636,ros 76 sst who
ILL 4400 AGL,NA,76,1,"Sutherland, Canada",2017,30.7549,1.019527,1.458454,2.371725,1.167321,3.348507,4.715048,1.218524,1.168164,1.22594,0.2756328,1.894001,0.9126235,0.2596513,1.452142,1.256698,2.123935,1.477782,0.2427531,sut 76 sst who
ILL 4400 AGL,NA,76,1,"Rosthern, Canada",2016,29.60471,0.9888883,1.406666,2.093887,1.141636,3.338949,4.686923,0.997938,1.145122,1.216447,0.2552728,1.89451,0.8429268,0.2682312,1.374982,1.218075,2.097995,1.413018,0.2241484,16 ros 076
ILL 4400 AGL,NA,76,1,"Sutherland, Canada",2016,31.7916,1.122183,1.493784,2.26819,1.187424,3.52296,4.993519,1.061571,1.184218,1.276244,0.2520387,1.986719,0.8822832,0.2569003,1.459805,1.29492,2.220943,1.49525,0.2364471,16 sut 076
ILL 4605 AGL,NA,77,1,"Rosthern, Canada",2017,28.04839,0.8694718,1.337202,2.084727,1.086857,3.099557,4.32578,1.133962,1.10037,1.172918,0.2597563,1.797814,0.8337533,0.2534326,1.340971,1.172766,1.972319,1.379709,0.2172631,ros 77 sst who
ILL 4605 AGL,NA,77,1,"Sutherland, Canada",2017,30.25255,1.064265,1.425277,2.313546,1.144891,3.175677,4.537445,1.184819,1.181842,1.221866,0.2682293,1.877033,0.8927327,0.2504598,1.423488,1.230747,2.077069,1.456694,0.2325413,sut 77 sst who
ILL 4605 AGL,NA,77,1,"Rosthern, Canada",2016,28.39052,0.8548462,1.361157,1.954208,1.115311,3.232953,4.501703,0.9834456,1.163764,1.206021,0.2501398,1.876608,0.8016713,0.2729841,1.339019,1.188935,2.047217,1.382741,0.2118544,16 ros 077
ILL 4605 AGL,NA,77,1,"Sutherland, Canada",2016,28.36735,0.9361553,1.341886,1.90866,1.079285,3.119011,4.362864,0.9907622,1.096628,1.188982,0.238837,1.831085,0.7804816,0.2449109,1.307369,1.166507,1.985295,1.351976,0.2102466,16 sut 077
ILL 4609 AGL,NA,78,1,"Rosthern, Canada",2017,28.29008,0.9170576,1.346029,2.112823,1.083881,3.128983,4.307171,1.149069,1.110362,1.144483,0.2608413,1.781258,0.8260837,0.2423887,1.337005,1.153279,1.969551,1.367386,0.2200982,ros 78 sst who
ILL 4609 AGL,NA,78,1,"Sutherland, Canada",2017,29.24097,0.9752661,1.377484,2.181308,1.086968,3.155002,4.392823,1.172583,1.093265,1.145808,0.2693778,1.795742,0.8526734,0.239222,1.365762,1.17883,1.999852,1.390646,0.2254133,sut 78 sst who
ILL 4609 AGL,NA,78,1,"Rosthern, Canada",2016,28.68966,0.8902828,1.376274,1.986295,1.095338,3.281557,4.543594,0.9902793,1.119606,1.17887,0.2503033,1.868724,0.8263356,0.2641546,1.348809,1.183845,2.051519,1.380428,0.2153418,16 ros 078
ILL 4609 AGL,NA,78,1,"Sutherland, Canada",2016,28.77387,0.9965357,1.36141,1.885773,1.089764,3.193198,4.490742,0.9988528,1.108276,1.14457,0.2337153,1.837741,0.7955484,0.2523768,1.311692,1.167882,2.002385,1.342489,0.2155445,16 sut 078
ILL 4665 AGL,NA,79,1,"Rosthern, Canada",2017,29.75677,1.03918,1.409969,2.221042,1.149137,3.219289,4.521183,1.156454,1.11252,1.191059,0.2724372,1.832696,0.8668095,0.2510518,1.398678,1.2193,2.050447,1.425648,0.2345694,ros 79 sst who
ILL 4665 AGL,NA,79,1,"Sutherland, Canada",2017,29.66122,1.057316,1.400835,2.198899,1.12201,3.092792,4.432984,1.119686,1.117724,1.184969,0.2692306,1.821306,0.8660217,0.2419788,1.392566,1.210644,2.026283,1.416657,0.2313659,sut 79 sst who
ILL 4665 AGL,NA,79,1,"Rosthern, Canada",2016,29.79511,0.9253257,1.40994,2.030941,1.129602,3.29055,4.637959,1.013833,1.156637,1.228347,0.248802,1.925587,0.8253071,0.2730897,1.37395,1.216328,2.104368,1.417223,0.2207438,16 ros 079
ILL 4665 AGL,NA,79,1,"Sutherland, Canada",2016,31.01955,1.035514,1.447145,2.126257,1.162996,3.409855,4.793182,1.053344,1.189802,1.253156,0.2475731,1.945474,0.8555058,0.2641522,1.406752,1.251874,2.147466,1.438929,0.231701,16 sut 079
ILL 4671 AGL,NA,80,1,"Rosthern, Canada",2017,29.47034,0.8937406,1.412744,2.277192,1.124486,3.270769,4.666634,1.213268,1.161476,1.215601,0.2617968,1.886737,0.8711106,0.2550114,1.423863,1.246197,2.089714,1.462223,0.2280587,ros 80 sst who
ILL 4671 AGL,NA,80,1,"Sutherland, Canada",2017,30.23165,1.092992,1.438351,2.288197,1.155515,3.116118,4.53606,1.138689,1.148172,1.219998,0.2679473,1.837652,0.8772419,0.241196,1.43898,1.246099,2.079926,1.452496,0.2351146,sut 80 sst who
ILL 4671 AGL,NA,80,1,"Rosthern, Canada",2016,31.49437,0.9810461,1.470955,2.147367,1.187749,3.453706,4.917464,1.100999,1.257812,1.292926,0.2448772,2.027677,0.8705643,0.2888971,1.454012,1.279182,2.226876,1.486136,0.2309713,16 ros 080
ILL 4671 AGL,NA,80,1,"Sutherland, Canada",2016,31.84838,1.088387,1.449601,2.238507,1.169199,3.391193,4.892752,1.068239,1.191739,1.299202,0.2383553,1.940311,0.8518211,0.2509536,1.410113,1.259473,2.18094,1.460986,0.2344118,16 sut 080
ILL 4768 AGL,NA,81,1,"Rosthern, Canada",2017,28.42014,0.7770867,1.388554,2.173909,1.102723,3.247694,4.464261,1.175728,1.130553,1.16624,0.2659756,1.807713,0.8618143,0.2594219,1.38385,1.196926,2.040804,1.410437,0.226014,ros 81 sst who
ILL 4768 AGL,NA,81,1,"Sutherland, Canada",2017,29.45595,0.9156245,1.408031,2.217003,1.115576,3.15104,4.424756,1.057181,1.118062,1.212591,0.2785617,1.764198,0.8539194,0.2415476,1.404306,1.213259,2.069221,1.425178,0.2332442,sut 81 sst who
ILL 4768 AGL,NA,81,1,"Rosthern, Canada",2016,28.76092,0.8966521,1.374959,2.034669,1.10196,3.334598,4.50828,0.9633982,1.138744,1.177225,0.2543523,1.824285,0.8183933,0.2701243,1.347457,1.179716,2.04454,1.365773,0.2193746,16 ros 081
ILL 4768 AGL,NA,81,1,"Sutherland, Canada",2016,31.06597,1.077422,1.475464,2.215477,1.188099,3.564623,4.846451,1.044946,1.207976,1.229132,0.2659563,1.943252,0.867809,0.2694991,1.447347,1.268223,2.180694,1.459433,0.2395027,16 sut 081
ILL 4782 AGL,NA,82,1,"Rosthern, Canada",2017,26.28454,0.8517771,1.258497,1.865961,1.005769,2.92618,4.065084,1.126503,1.024183,1.099507,0.2506849,1.710122,0.7963698,0.2465754,1.243742,1.118024,1.852716,1.300917,0.1978507,ros 82 sst who
ILL 4782 AGL,NA,82,1,"Sutherland, Canada",2017,29.4273,0.9775102,1.38924,2.1906,1.106604,3.143925,4.409272,1.075222,1.117078,1.195484,0.2695719,1.771779,0.8471681,0.2481726,1.388647,1.191869,2.043391,1.403267,0.2323435,sut 82 sst who
ILL 4782 AGL,NA,82,1,"Rosthern, Canada",2016,29.12368,0.8869265,1.389409,2.054452,1.113828,3.42012,4.552813,1.040456,1.161502,1.18053,0.2569809,1.873622,0.8268175,0.2853651,1.359253,1.183494,2.059299,1.377975,0.2214629,16 ros 082
ILL 4782 AGL,NA,82,1,"Sutherland, Canada",2016,31.16905,1.103108,1.471842,2.201696,1.187879,3.537425,4.821673,1.05557,1.193285,1.218651,0.2627371,1.937554,0.8651861,0.2663587,1.431798,1.254897,2.159381,1.443958,0.2391985,16 sut 082
ILL 4783 AGL,NA,83,1,"Rosthern, Canada",2017,27.69539,0.7579523,1.336532,2.052961,1.094576,3.107464,4.410301,1.187275,1.100973,1.147316,0.2633319,1.829312,0.8488168,0.2595553,1.355422,1.187381,1.983237,1.394925,0.2201117,ros 83 sst who
ILL 4783 AGL,NA,83,1,"Sutherland, Canada",2017,28.06083,0.8628188,1.339023,2.026558,1.080751,2.976305,4.331509,1.076478,1.111723,1.170348,0.2555644,1.811319,0.8273419,0.2493307,1.350755,1.176156,1.977378,1.385831,0.2162466,sut 83 sst who
ILL 4783 AGL,NA,83,1,"Rosthern, Canada",2016,30.61942,0.8924703,1.457782,2.082531,1.195245,3.397583,4.855902,1.051679,1.275469,1.261185,0.2505183,2.006335,0.8896492,0.2874042,1.452144,1.276548,2.202605,1.479623,0.2327721,16 ros 083
ILL 4783 AGL,NA,83,1,"Sutherland, Canada",2016,31.1757,1.041003,1.44743,2.143912,1.164727,3.394135,4.853229,1.057572,1.188231,1.255753,0.2419718,1.965329,0.8628238,0.2672862,1.413754,1.251318,2.164214,1.456805,0.2315305,16 sut 083
ILL 4804 AGL,NA,84,1,"Rosthern, Canada",2017,29.50168,0.9780802,1.419199,2.244784,1.140644,3.338287,4.730007,1.168469,1.210965,1.2288,0.2521482,1.917412,0.8774002,0.2578797,1.435657,1.249428,2.12493,1.477247,0.2273555,ros 84 sst who
ILL 4804 AGL,NA,84,1,"Sutherland, Canada",2017,28.55083,1.042259,1.322059,2.024446,1.069692,2.992357,4.303902,1.027931,1.16153,1.199687,0.2329014,1.794715,0.7927289,0.2450462,1.33973,1.162389,1.984126,1.366945,0.2191257,sut 84 sst who
ILL 4804 AGL,NA,84,1,"Rosthern, Canada",2016,30.67952,1.095837,1.434665,2.089311,1.170189,3.437906,4.72272,1.033329,1.232412,1.24102,0.2538851,1.948956,0.8696851,0.2733597,1.41433,1.237263,2.143742,1.437059,0.2291189,16 ros 084
